id_espece;nom_espece
763;HARICOT BIO
764;HARICOT
765;HARICOT
766;HARICOT BIO
767;TOMATE
768;TOMATE BIO
769;CHENE ROUGE
770;PHYSALIS
771;TOMATE
772;POTIMARRON
773;COURGE BIO
774;CHOU-ROMANESCO
775;CHOU-ROMANESCO BIO
776;CONCOMBRE
777;FRISEE
778;OIGNON
779;OIGNON
780;FENOUIL
781;FENOUIL
782;BASILIC
783;CONCOMBRE
784;CONCOMBRE BIO
785;CONCOMBRE BIO
786;CONCOMBRE
787;BATAVIA BLONDE
788;BATAVIA BLONDE BIO
789;SCAROLE
790;CELERI BRANCHE BIO
791;CHOU-LISSE
792;PASTEQUE
793;PASTEQUE BIO
794;ECHALOTE
795;ECHALOTE BIO
796;POTIMARRON
797;TOMATE
798;CHENE ROUGE
799;CHENE ROUGE BIO
800;TOMATE
801;TOMATE BIO
802;PHYSALIS
803;COURGETTE
804;CHOU-FRISE
805;TOMATE
806;TOMATE BIO
807;BATAVIA ROUGE
808;CHENE ROUGE
809;TOMATE
810;CHOU-FRISE
811;CHOU-FRISE
812;CONCOMBRE
813;CHICOREE
814;CORIANDRE BIO
815;CORIANDRE BIO
816;CORIANDRE
817;CORIANDRE
818;TOMATE
819;CONCOMBRE
820;TOMATE
821;TOMATE BIO
822;TOMATE
823;TOMATE BIO
824;SCAROLE
825;CORNICHON
826;CORNICHON BIO
827;CORNICHON BIO
828;CORNICHON
829;POIVRON
830;POIVRON
831;POIVRON BIO
832;TOMATE
833;CHOU-FLEUR
834;TOMATE
835;BATAVIA BLONDE
836;LAITUE
837;LAITUE BIO
838;CHOU-LISSE
839;CHOU-LISSE BIO
840;CHOU-LISSE
841;COURGE
842;COURGE BIO
843;COURGE BIO
844;COURGE
845;COURGETTE
846;COURGETTE BIO
847;COURGETTE BIO
848;COURGETTE
849;MULTIFEUILLE BLONDE
850;LAITUE
851;CRAQUANTE (archivé)
852;LAITUE BIO
853;CRAQUANTE (archivé)
854;CHENE ROUGE
855;LAITUE BIO
856;POIVRON
857;POIVRON BIO
858;BATAVIA BLONDE
859;BATAVIA BLONDE BIO
860;AUBERGINE
861;CHOU-FLEUR
862;HARICOT
863;CONCOMBRE
864;CONCOMBRE BIO
865;TOMATE
866;COURGETTE
867;COURGETTE BIO
868;CHOU-BRUXELLES
869;CELERI BRANCHE
870;CELERI BRANCHE BIO
871;TOMATE
872;TOMATE BIO
873;TOMATE
874;TOMATE BIO
875;POIREAU BIO
876;PORTE GREFFE
877;PORTE GREFFE BIO
878;BLEUET BIO
879;TOMATE
880;TOMATE BIO
881;CHOU-LISSE
882;CHOU-LISSE BIO
883;MELON
884;COURGETTE
885;COURGETTE BIO
886;CHOU-BRUXELLES
887;LAITUE
888;CHOU-BRUXELLES
889;CHOU-BRUXELLES BIO
890;CHENE ROUGE
891;CHENE ROUGE BIO
892;AUBERGINE
893;OIGNON
894;TOMATE
895;OIGNON
896;CHOU-FLEUR
897;CHOU-FLEUR
898;CHOU-ROMANESCO
899;CELERI BRANCHE BIO
900;CELERI BRANCHE
901;TOMATE
902;CHOU-FLEUR VIOLET
903;POIREAU
904;TOMATE CONSERVE
905;TOMATE CONSERVE BIO
906;TOMATE
907;CHOU-ROUGE
908;CELERI BRANCHE
909;CHOU-FLEUR
910;PASTEQUE
911;TOMATE
912;CHOU-CABUS
913;OIGNON BIO
914;OSEILLE
915;PIMENT
916;PIMENT BIO
917;CHOU-POINTU BIO
918;CIBOULETTE
919;BETTERAVE BIO
920;NAVET
921;TOMATE CONSERVE
922;TOMATE
923;COURGETTE
924;COURGETTE BIO
925;MELON
926;TOMATE
