id_uv;id_espece;nom_uv;nombre_plant_par_plateaux;nombre_graine_par_motte
375;375;Pltx 140 repiqué écarté taillé;140;1
376;376;Pltx 140 écarté taillé;140;1
377;377;Pltx 150 écarté;150;1
378;378;Pltx 240 Polystyrène écarté taillé;240;1
379;379;Pltx 240 STAMP Plastique écarté taillé;240;1
380;380;Pltx 50 repiqué écarté taillé;50;1
381;381;Pltx 600;600;1
382;382;Pltx 84 repiqué;84;1
383;383;Pltx 84 repiqué écarté taillé;84;1
384;384;Pltx 96;96;1
385;385;Pltx 96 repiqué;96;1
386;386;Pltx 120 Bio écarté taillé;120;1
387;387;Pltx 140 Bio;140;1
388;388;Pltx 140 Bio repiqué écarté taillé;140;1
389;389;Pltx 140 Bio écarté taillé;140;1
390;390;Pltx 150 BIO écarté;150;1
391;391;Pltx 240 Polystyrène Bio écarté taillé;240;1
392;392;Pltx 32 Bio repiqué;32;1
393;393;Pltx 600 Bio;600;1
394;394;Pltx 84 Bio repiqué;84;1
395;395;Pltx 84 Bio repiqué écarté taillé;84;1
396;396;Pltx 96 Bio;96;1
397;397;Plateaux 176;176;5
398;398;Pltx 140;140;5
399;399;Pltx 150 écarté;150;5
400;400;Pltx 240 Polystyrène;240;5
401;401;Pltx 240 STAMP plastique;240;5
402;402;Pltx 60;60;5
403;403;Pltx 96;96;5
404;404;Plateaux 176 Bio;176;5
405;405;Pltx 150 Bio;150;5
406;406;Pltx 240 Polystyrène Bio;240;5
407;407;Pltx 240 STAMP plastique Bio;240;5
408;408;Plx 140 Bio;140;5
409;409;Plateaux 176;176;1
410;410;Pltx 140;140;1
411;411;Plateaux 176 Bio;176;1
412;412;Pltx 140 Bio;140;1
413;413;Pltx 240 Polystyrène Bio;240;1
414;414;Plateaux 176;176;1
415;415;Pltx 140;140;1
416;416;Plateaux 176 Bio;176;1
417;417;Pltx 140 Bio;140;1
418;418;Pltx 240 Polystyrène Bio;240;1
419;419;Plateaux 176;176;1
420;420;Plateaux 240 Polystyrène;240;1
421;421;Pltx 140;140;1
422;422;Plateaux 176 Bio;176;1
423;423;Pltx 140 Bio;140;1
424;424;Pltx 240 Polystyrène Bio;240;1
425;425;Plateaux 176;176;1
426;426;Pltx 120 écarté;120;1
427;427;Pltx 140;140;1
428;428;Pltx 150 écarté;150;1
429;429;Pltx 240 Polystyrène écarté;240;1
430;430;Pltx 240 STAMP Plastique écarté;240;1
431;431;Pltx 50 repiqué écarté;50;1
432;432;Pltx 96;96;1
433;433;Plateaux 176 Bio;176;1
434;434;Pltx 120 Bio écarté;120;1
435;435;Pltx 140 Bio;140;1
436;436;Pltx 150 écarté;150;1
437;437;Pltx 240 Polystyrène Bio écarté;240;1
438;438;Pltx 32 Bio repiqué;32;1
439;439;Pltx 50 Bio repiqué;50;1
440;440;Pltx 50 Bio repiqué écarté;50;1
441;441;Pltx 600 Bio;600;1
442;442;Pltx 96 Bio;96;1
443;443;Plateaux 176;176;1
444;444;Pltx 120 écarté;120;1
445;445;Pltx 140;140;1
446;446;Pltx 150 écarté;150;1
447;447;Pltx 240 Polystyrène écarté;240;1
448;448;Pltx 240 STAMP Plastique écarté;240;1
449;449;Pltx 50 repiqué écarté;50;1
450;450;Pltx 96;96;1
451;451;Plateaux 176 Bio;176;1
452;452;Pltx 120 Bio écarté;120;1
453;453;Pltx 140 Bio;140;1
454;454;Pltx 150 écarté;150;1
455;455;Pltx 240 Polystyrène Bio écarté;240;1
456;456;Pltx 32 Bio repiqué;32;1
457;457;Pltx 50 Bio repiqué;50;1
458;458;Pltx 50 Bio repiqué écarté;50;1
459;459;Pltx 600 Bio;600;1
460;460;Pltx 96 Bio;96;1
461;461;Plateaux 176;176;1
462;462;Pltx 120 écarté;120;1
463;463;Pltx 140;140;1
464;464;Pltx 150 écarté;150;1
465;465;Pltx 240 Polystyrène écarté;240;1
466;466;Pltx 240 STAMP Plastique écarté;240;1
467;467;Pltx 50 repiqué écarté;50;1
468;468;Pltx 96;96;1
469;469;Plateaux 176 Bio;176;1
470;470;Pltx 120 Bio écarté;120;1
471;471;Pltx 140 Bio;140;1
472;472;Pltx 150 écarté;150;1
473;473;Pltx 240 Polystyrène Bio écarté;240;1
474;474;Pltx 32 Bio repiqué;32;1
475;475;Pltx 50 Bio repiqué;50;1
476;476;Pltx 50 Bio repiqué écarté;50;1
477;477;Pltx 600 Bio;600;1
478;478;Pltx 96 Bio;96;1
479;479;Plateaux 176;176;1
480;480;Pltx 120 écarté;120;1
481;481;Pltx 140;140;1
482;482;Pltx 150 écarté;150;1
483;483;Pltx 240 Polystyrène écarté;240;1
484;484;Pltx 240 STAMP Plastique écarté;240;1
485;485;Pltx 50 repiqué écarté;50;1
486;486;Pltx 96;96;1
487;487;Plateaux 176 Bio;176;1
488;488;Pltx 120 Bio écarté;120;1
489;489;Pltx 140 Bio;140;1
490;490;Pltx 150 écarté;150;1
491;491;Pltx 240 Polystyrène Bio écarté;240;1
492;492;Pltx 32 Bio repiqué;32;1
493;493;Pltx 50 Bio repiqué;50;1
494;494;Pltx 50 Bio repiqué écarté;50;1
495;495;Pltx 600 Bio;600;1
496;496;Pltx 96 Bio;96;1
497;497;Plateaux 176;176;1
498;498;Pltx 120 écarté;120;1
499;499;Pltx 140;140;1
500;500;Pltx 150 écarté;150;1
501;501;Pltx 240 Polystyrène écarté;240;1
502;502;Pltx 240 STAMP Plastique écarté;240;1
503;503;Pltx 50 repiqué écarté;50;1
